id,name,p_code,postal_code,ward_type,township_id:id,town_id:id,name_mm
ward_001003701502,No (2) Ward,MMR001003701502,0102002,ward,township_001003,town_001003701,အမှတ် (၂) ရပ်ကွက်
ward_001003701503,No (3) Ward,MMR001003701503,0102003,ward,township_001003,town_001003701,အမှတ် (၃) ရပ်ကွက်
ward_001003701504,No (4) Ward,MMR001003701504,0102004,ward,township_001003,town_001003701,အမှတ် (၄) ရပ်ကွက်
vt_001004001,Ting Kauk,MMR001004001,0109200,village_tract,township_001004,,တိန်ကောက်
vt_001004002,Nam Hpyet Yang,MMR001004002,0109201,village_tract,township_001004,,နမ်ဖျက်ယန်
vt_001004003,Nawng Long Kawng Ra,MMR001004003,0109202,village_tract,township_001004,,နောင်လုံကောင်ရာ
vt_001004004,Mai Khun (Mone Hkawm),MMR001004004,0109203,village_tract,township_001004,,မိုင်းခွန်း(မုံ့ခေါင်မ်)
vt_001004005,Ma Kaw,MMR001004005,0109204,village_tract,township_001004,,မကော
vt_001004006,Shin Long Gar,MMR001004006,0109205,village_tract,township_001004,,ရှင်လုံဂါး
vt_001004007,Da Naing Yang,MMR001004007,0109206,village_tract,township_001004,,ဒနိုင်ယန်
vt_001004008,In Htoi In Praw,MMR001004008,0109207,village_tract,township_001004,,အင်ထွဲအင်ပရော့
vt_001004009,Gawt Lwng Yang,MMR001004009,0109208,village_tract,township_001004,,ဂေါ့လွန်ယန်
vt_001004010,Sa Rar Ka Htaung (a) Awng Lawt,MMR001004010,0109209,village_tract,township_001004,,ဆရာကထောင် (ခ) အောင်လောဒ့်
vt_001004011,Nam Hkam Par (a) Nam Byu,MMR001004011,0000nan,village_tract,township_001004,,နမ့်ခမ့်ပါ (ခ) နမ့်ဗျူ
vt_001004012,In Gam Gar,MMR001004012,0109211,village_tract,township_001004,,အင်ဂမ်ဂါး
vt_001004013,Shein Bway Kawng,MMR001004013,0109212,village_tract,township_001004,,ရှိန့်ဘွေကောင့်
vt_001004014,Ahr Hlyin,MMR001004014,0109213,village_tract,township_001004,,အာလျှင်
vt_001004015,Hsin Sa,MMR001004015,0109214,village_tract,township_001004,,ဆင်(မ်)ဆ
vt_001004016,Hka Long,MMR001004016,0109215,village_tract,township_001004,,ခလုန်း
vt_001004017,Ta Ron,MMR001004017,0109216,village_tract,township_001004,,တရုံ
ward_001004701501,Sin Sa Kawng Ward,MMR001004701501,0109001,ward,township_001004,town_001004701,ဆင်ဆာ့ကောင်းရပ်ကွက်
ward_001004701502,Mon Dein Kawng Ward,MMR001004701502,0109002,ward,township_001004,town_001004701,မုန်ဒိန်ကောင်းရပ်ကွက်
ward_001004701503,Hu Kawng Ward,MMR001004701503,0109003,ward,township_001004,town_001004701,ဟူးကောင်းရပ်ကွက်
ward_001004701504,Kin Sar Ward,MMR001004701504,0109004,ward,township_001004,town_001004701,ကင်ဆားရပ်ကွက်
ward_001004701505,Du Kawng Ward,MMR001004701505,0109005,ward,township_001004,town_001004701,ဒူကောင်းရပ်ကွက်
ward_001004701506,Pon Khon Kawng Ward,MMR001004701506,0109006,ward,township_001004,town_001004701,ပုန်ခုန်ကောင်းရပ်ကွက်
ward_001004701507,Swut Ngai Ward,MMR001004701507,0000nan,ward,township_001004,town_001004701,ဆွတ်ငိုင်ရပ်ကွက်
ward_001004702501,No (1) Ward,MMR001004702501,0165001,ward,township_001004,town_001004702,အမှတ် (၁) ရပ်ကွက်
ward_001004702502,No (2) Ward,MMR001004702502,0165002,ward,township_001004,town_001004702,အမှတ် (၂) ရပ်ကွက်
ward_001004702503,No (3) Ward,MMR001004702503,0165003,ward,township_001004,town_001004702,အမှတ် (၃) ရပ်ကွက်
ward_001004702504,No (4) Ward,MMR001004702504,0165004,ward,township_001004,town_001004702,အမှတ် (၄) ရပ်ကွက်
vt_001005001,Lai Mar Yang,MMR001005001,0107200,village_tract,township_001005,,လိုင်မာယန်
vt_001005002,Zan Nawng,MMR001005002,0107201,village_tract,township_001005,,ဇန်နောင်
vt_001005003,Na Law,MMR001005003,0107202,village_tract,township_001005,,နလော
vt_001005004,Myaw Maw Par,MMR001005004,0107203,village_tract,township_001005,,မျောမောပါ
vt_001005005,Lawng Hpant,MMR001005005,0107204,village_tract,township_001005,,လောင်ဖမ့်
vt_001005006,Myit Nawt,MMR001005006,0107205,village_tract,township_001005,,မြစ်နော့
vt_001005007,Man San,MMR001005007,0107206,village_tract,township_001005,,မံစံ
vt_001005008,Shan Kyaw,MMR001005008,0107207,village_tract,township_001005,,ရှမ်းကျော်
vt_001005009,Ma Gaung,MMR001005009,0107208,village_tract,township_001005,,မဂေါင်
vt_001005010,Bant Li,MMR001005010,0107209,village_tract,township_001005,,ဘန့်လီ
vt_001005011,Nar Maw Zut,MMR001005011,0107210,village_tract,township_001005,,နာမော်ဇွပ်
vt_001005012,Ta Mu,MMR001005012,0107211,village_tract,township_001005,,တမူး
vt_001005013,Hpa Lar,MMR001005013,0107212,village_tract,township_001005,,ဖလာ
vt_001005014,Byaw Li,MMR001005014,0107213,village_tract,township_001005,,ဗျော်လီ
vt_001005015,Man Dungt,MMR001005015,0107214,village_tract,township_001005,,မန့်ဒုန့်
vt_001005016,Law Hkawng,MMR001005016,0107215,village_tract,township_001005,,လောခေါင်
vt_001005017,Ya Jawng,MMR001005017,0107216,village_tract,township_001005,,ရုပ်ချောင်
