id,name,code,township_id:id,name_mm
town_013033701,Kyauktada,MMR013033701,township_013033,ကျောက်တံတား
town_013034701,Pabedan,MMR013034701,township_013034,ပန်းဘဲတန်း
town_013035701,Lanmadaw,MMR013035701,township_013035,လမ်းမတော်
town_013036701,Latha,MMR013036701,township_013036,လသာ
town_013037701,Ahlone,MMR013037701,township_013037,အလုံ
town_013038701,Kyeemyindaing,MMR013038701,township_013038,ကြည့်မြင်တိုင်
town_013039701,Sanchaung,MMR013039701,township_013039,စမ်းချောင်း
town_013040701,Hlaing,MMR013040701,township_013040,လှိုင်
town_013041701,Kamaryut,MMR013041701,township_013041,ကမာရွတ်
town_013042701,Mayangone,MMR013042701,township_013042,မရမ်းကုန်း
town_013043701,Dagon,MMR013043701,township_013043,ဒဂုံ
town_013044701,Bahan,MMR013044701,township_013044,ဗဟန်း
town_013045701,Seikkan,MMR013045701,township_013045,ဆိပ်ကမ်း
town_013046701,Hlaingtharya (East) Town,MMR013046701,township_013046,လှိုင်သာယာ (အရှေ့ပိုင်း)
town_013047701,Hlaingtharya (West) Town,MMR013047701,township_013047,လှိုင်သာယာ (အနောက်ပိုင်း)
town_014001701,Taunggyi Town,MMR014001701,township_014001,တောင်ကြီး
town_014001702,Ayetharyar Town,MMR014001702,township_014001,အေးသာယာ
town_014001703,Kyauktalonegyi Town,MMR014001703,township_014001,ကျောက်တလုံးကြီး
town_014001704,Shwenyaung Town,MMR014001704,township_014001,ရွှေညောင်
town_014002701,Nyaungshwe Town,MMR014002701,township_014002,ညောင်ရွှေ
