id,name,postcode,township_id:id
zip_08115,Swa,08115,township_007010
zip_08121,Oaktwin,08121,township_007013
zip_08122,Kywebwe,08122,township_007013
zip_08123,Nyaungchayhtut,08123,township_007013
zip_08131,Htantabin,08131,township_007014
zip_08132,Zayatgyi,08132,township_007014
zip_08141,Phyu,08141,township_007012
zip_08142,Zayyawadi,08142,township_007012
zip_08143,Mone,08143,township_007012
zip_08144,Nyaungbintha,08144,township_007012
zip_08145,Kannyuntkwin,08145,township_007012
zip_08151,Pyay,08151,township_008001
zip_08152,Khittayar Myothit,08152,township_008001
zip_08153,Hmawzar,08153,township_008001
zip_08154,Paungdale,08154,township_008001
zip_08155,Wethteekan,08155,township_008001
zip_08156,Pyay University Pyay,08156,township_008001
zip_08161,Paukkhaung,08161,township_008002
zip_08171,Padaung,08171,township_008003
zip_08172,Thuyetan,08172,township_008003
zip_08173,Htone Bo,08173,township_008003
zip_08174,Hsinde,08174,township_008003
zip_08175,Oakshitbyin,08175,township_008003
zip_08176,Kwinhla,08176,township_008003
zip_08181,Shwedaung,08181,township_008006
zip_08182,Kyeethe,08182,township_008006
zip_08183,Tayokehmaw,08183,township_008006
zip_08191,Thegone,08191,township_008005
zip_08192,Sinhmeeswe,08192,township_008005
zip_08193,Padegone,08193,township_008005
zip_08194,Innma,08194,township_008005
zip_08195,Wetpoke,08195,township_008005
zip_08201,Paungde,08201,township_008004
zip_08202,Hmattaing,08202,township_008004
zip_08203,Thafangone,08203,township_008004
zip_08211,Nattalin,08211,township_008012
zip_08212,Tarpon,08212,township_008012
zip_08213,Taungnyo,08213,township_008012
zip_08214,Damange,08214,township_008012
zip_08221,Zeegone,08221,township_005007
zip_08222,Laymyethnar,08222,township_005007
zip_08231,Gyobingauk,08231,township_008014
zip_08232,Sanyawe,08232,township_008007
zip_08241,Moenyo,08241,township_008013
zip_08242,Yaekin,08242,township_008013
zip_08243,Htaintaw,08243,township_008013
zip_08244,Pathtaw,08244,township_008013
zip_08251,Oakpho,08251,township_008010
zip_08252,O-Thegone,08252,township_008010
zip_08253,Ayemyathayar,08253,township_008010
zip_08261,Minhla,08261,township_008009
zip_08262,Sitkwin,08262,township_008009
zip_08271,Letpadan,08271,township_008008
zip_08272,Zeephyugone,08272,township_008008
zip_08273,Tharawaw,08273,township_008008
zip_08274,Khamonsake,08274,township_008008
zip_08281,Tharrawaddy,08281,township_008007
zip_08282,Thoneze,08282,township_008007
zip_09011,Loikaw,09011,township_002001
zip_09012,Lawpita,09012,township_002001
zip_09013,Loikaw University,09013,township_002001
zip_09014,Loilenlay,09014,township_002001
zip_09021,Demohso,09021,township_002002
zip_09022,Dawtamagyi,09022,township_002002
zip_09031,Pharuso,09031,township_002003
zip_09041,Bawlakhe,09041,township_002005
zip_09042,Ywa Thit,09042,township_002005
zip_09051,Phasaung,09051,township_002006
zip_09052,Mawchee,09052,township_002006
zip_09061,Meisei,09061,township_002007
zip_09071,Shartaw,09071,township_002004
zip_10011,Pathein,10011,township_017001
zip_10012,PatheinCantonment,10012,township_017001
zip_10013,Myetto,10013,township_017001
zip_10014,Pathein University,10014,township_017001
zip_10015,Pathein Shipyard,10015,township_017001
zip_10016,B.E.D,10016,township_017001
zip_10017,G.T.C (Pathein),10017,township_017001
zip_10018,G.C.C (Pathein),10018,township_017001
zip_10019,Kyitha,10019,township_017001
zip_10021,Kangyidaung,10021,township_017002
zip_10022,Daka,10022,township_017002
